Toidu nimi (EST),Kcal,Süsivesikud,Rasvad,Kiudained,Valgud,Vesi,Suhkrud
Küpsetusmargariin,721,0.170,80.0,0,0.100,18.2,0.170
Küpsetuspulber,172,37.8,0,0,5.20,6.30,0
Küpsis,473,63.7,21.8,1.50,6.20,7.49,17.6
Kurk,9.80,2.10,0,0.700,0.700,96.8,1.40
Kurkum,291,67.1,3.25,22.7,9.68,12.9,3.21
Kuskuss,121,25.1,0.722,1.27,4.13,66.4,0.757
Kuuseriisikad,33.9,5.20,1.01,2.40,2.21,91.2,1.20
Küüslauguleivad,487,60.6,25.0,7.44,8.70,2.85,0.438
Küüslaugusai,330,48.6,12.0,3.30,8.51,29.7,4.41
Küüslauk,74.1,15.9,0.100,5.80,5.31,77.3,1.40
Läätsed,144,26.1,0.680,3.78,10.2,62.0,0.765
Lagrits,350,72.4,5.20,0.600,3.70,17.4,62.4
Laim,15.7,3.50,0.300,2.00,0.750,95.2,1.40
Laimimahl,8.00,1.70,0,0.100,0.350,97.7,1.60
Lambaliha,270,0,18.5,0,25.9,54.3,0
Lambapiim,102,5.36,6.45,0,5.51,81.8,4.80
Lapi leib,252,47.7,3.00,4.70,11.0,36.8,7.30
Lapimaa juust,267,3.30,20.0,0,18.5,54.4,3.30
Lastevorst,251,2.03,21.4,0.030,12.7,61.2,0.200
Latikas,213,0,13.4,0,23.1,62.1,0
Lavašš,279,60.2,1.10,4.23,9.10,27.5,1.17
Leedrimarjad,67.5,18.6,0.500,7.00,0.660,79.6,6.52
Leedrimarjamahl,30.5,6.00,0.500,0,0.500,92.8,4.50
Lehtkapsas,43.0,7.90,0.600,3.80,3.40,86.6,4.10
Lehtpeet,17.1,2.90,0.300,1.40,1.40,93.7,1.50
Lehtsalat,12.2,2.00,0.200,1.000,1.10,96.1,1.000
Lehtseller,13.2,3.60,0.200,2.50,0.500,94.6,1.10
Lehttainas,367,40.5,20.6,2.10,6.00,31.5,0.600
Leib,211,48.3,1.20,10.7,7.00,41.3,1.60
Leibjuust,255,2.60,17.0,0,23.0,55.1,2.60
Lest,112,0,2.65,0,22.1,74.1,0
Lihapallid,203,9.14,11.2,0.521,16.8,60.9,2.20
Lihapasteet,408,6.10,37.5,1.40,12.1,42.6,0.550
Liivatainas,447,47.1,26.6,1.64,5.52,19.5,15.8
Liköör 19%,263,32.6,0,0,0,48.4,32.6
Liköör 30%,290,30.5,0,0,0,45.5,30.5
Lillkapsas,28.9,7.56,0.200,2.40,1.60,89.9,2.10
Limonaad,41.2,10.3,0,0,0,89.7,10.3
Linajahu,397,45.7,13.1,22.4,35.2,6.00,0
Linaseemned,538,28.8,43.5,26.4,21.1,2.90,1.40
Linaseemneõli,900,0,100.0,0,0,0,0
Litši,64.4,15.5,0.100,0.700,0.900,83.0,14.3
Lõhe,255,0,17.5,0,24.3,56.8,0
Long drink,53.1,5.40,0,0,0,90.1,5.40
Loorberileht,353,74.9,8.40,26.3,7.60,5.50,48.1
Luts,87.6,0,0.563,0,20.6,77.6,0
Maapähklid,616,21.7,49.2,8.50,25.8,0.970,3.80
Maapähkliõli,899,0,99.9,0,0,0.100,0
Maapähklivõie,623,19.7,51.8,6.60,22.8,2.45,6.70
Maapirn,74.9,17.7,0.100,2.60,2.10,78.9,2.80
Maasikad,41.2,10.3,0.200,1.90,0.500,88.6,7.10
Maasikamoos,188,47.1,0.100,1.10,0.300,52.3,45.8
